r1_s1,r2_s1,r3_s1,r4_s1,r5_s1,r6_s1,r7_s1,r8_s1,r9_s1,r10_s1,r11_s1,r12_s1,r13_s1,r14_s1,r15_s1,r16_s1,r17_s1,r18_s1,r19_s1,r20_s1,r21_s1,r22_s1,r23_s1,r24_s1,r25_s1,r26_s1,r27_s1,r28_s1,r29_s1,r30_s1,r31_s1,r32_s1,r33_s1,r34_s1,r35_s1,c1_s1,c2_s1,c3_s1,c4_s1,o1_s1,outside_s1,r1_s2,r2_s2,r3_s2,r4_s2,r5_s2,r6_s2,r7_s2,r8_s2,r9_s2,r10_s2,r11_s2,r12_s2,r13_s2,r14_s2,r15_s2,r16_s2,r17_s2,r18_s2,r19_s2,r20_s2,r21_s2,r22_s2,r23_s2,r24_s2,r25_s2,r26_s2,r27_s2,r28_s2,r29_s2,r30_s2,r31_s2,r32_s2,r33_s2,r34_s2,r35_s2,c1_s2,c2_s2,c3_s2,c4_s2,o1_s2,outside_s2,r1_s3,r2_s3,r3_s3,r4_s3,r5_s3,r6_s3,r7_s3,r8_s3,r9_s3,r10_s3,r11_s3,r12_s3,r13_s3,r14_s3,r15_s3,r16_s3,r17_s3,r18_s3,r19_s3,r20_s3,r21_s3,r22_s3,r23_s3,r24_s3,r25_s3,r26_s3,r27_s3,r28_s3,r29_s3,r30_s3,r31_s3,r32_s3,r33_s3,r34_s3,r35_s3,c1_s3,c2_s3,c3_s3,c4_s3,o1_s3,outside_s3
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.9085805934242182,0.10179640718562874,0.06743940990516333,0.044642857142857144,0.01650943396226415,0.005050505050505051,0.0038948393378773127,0.020689655172413793,0.003703703703703704,0.0003935458480913026,0.0,0.0041841004184100415,0.0036529680365296802,0.0,0.0008488964346349745,0.0006648936170212766,0.0014577259475218659,0.0,0.00335345405767941,0.006944444444444444,0.0,0.0,0.0,0.0078125,0.005555555555555556,0.02120141342756184,0.006702412868632708,0.0,0.0,0.005917159763313609,0.0022535211267605635,0.01090909090909091,0.0,0.0,0.004901960784313725,0.000929195316855603,0.007801418439716312,0.015741507870753936,0.0019916351324437364,0.00632183908045977,0.0,0.5,1.0,3.0,0.0,0.5,0,0.0,0.5,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.047619047619047616,0.06666666666666667,0.06896551724137931,0.0
0.0,0.0,0.0,0.6666666666666666,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.03608660785886127,0.7514970059880239,0.002107481559536354,0.11607142857142858,0.014150943396226415,0.0,0.0009737098344693282,0.020689655172413793,0.0024691358024691358,0.0003935458480913026,0.0,0.0,0.0027397260273972603,0.0015151515151515152,0.0008488964346349745,0.0,0.0014577259475218659,0.0022522522522522522,0.0,0.0,0.0,0.0,0.0,0.00390625,0.002777777777777778,0.0035335689045936395,0.005361930294906166,0.0,0.0,0.0,0.0005633802816901409,0.016363636363636365,0.001869158878504673,0.002136752136752137,0.0,0.001858390633711206,0.0028368794326241137,0.010770505385252692,0.00219079864568811,0.0034482758620689655,0.0,0.75,0.33333333333333337,0.0,0.75,0.5,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.5,0,0,0,0.0,0.6666666666666666,0.0,0,0,0.0,0.0,0.09523809523809523,0.13333333333333333,0.0,0.0
0.0,0.0,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03769045709703288,0.005988023952095809,0.8609062170706007,0.011904761904761904,0.009433962264150943,0.0,0.022395326192794548,0.034482758620689655,0.006172839506172839,0.0007870916961826052,0.0,0.0,0.0036529680365296802,0.0015151515151515152,0.0008488964346349745,0.0006648936170212766,0.0014577259475218659,0.0022522522522522522,0.0006706908115358819,0.003472222222222222,0.004518072289156626,0.013043478260869565,0.004807692307692308,0.015625,0.005555555555555556,0.014134275618374558,0.010723860589812333,0.0,0.00975609756097561,0.0,0.0011267605633802818,0.012727272727272728,0.0012461059190031153,0.002136752136752137,0.0,0.0035309422040512915,0.0070921985815602835,0.014084507042253521,0.0027882891854212307,0.007471264367816092,0.0,0.5,0.0,0.0,0.0,0.0,0,0.6,0.5,1.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,1,0.0,0.0,0,0,0.0625,0.3333333333333333,0.5,0,0,0,0.0,0.6666666666666666,0.0,0,0,0.07142857142857142,0.0,0.047619047619047616,0.0,0.034482758620689655,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.008849557522123894,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006415396952686447,0.12574850299401197,0.005268703898840885,0.6934523809523809,0.01179245283018868,0.0,0.0006491398896462187,0.2206896551724138,0.02345679012345679,0.0009838646202282567,0.0,0.0,0.0009132420091324201,0.004545454545454545,0.0008488964346349745,0.0,0.0014577259475218659,0.0,0.0013413816230717639,0.0,0.0,0.0,0.0,0.01171875,0.0020833333333333333,0.007067137809187279,0.006702412868632708,0.0,0.0,0.0,0.0005633802816901409,0.007272727272727273,0.0006230529595015577,0.0010683760683760685,0.0024509803921568627,0.0020442296970823266,0.00425531914893617,0.009113504556752278,0.0017924716191993627,0.0034482758620689655,0.0,0.0,0.6666666666666666,0.0,0.5,0.0,0,0.0,1.5,0.0,0.1111111111111111,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.3333333333333333,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.03571428571428571,0.047619047619047616,0.06666666666666667,0.034482758620689655,0.0
0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0008019246190858059,0.0029940119760479044,0.002107481559536354,0.002976190476190476,0.6721698113207547,0.010101010101010102,0.0006491398896462187,0.041379310344827586,0.06172839506172839,0.0001967729240456513,0.0008703220191470844,0.0041841004184100415,0.0036529680365296802,0.0,0.0021222410865874364,0.0,0.0,0.0045045045045045045,0.0013413816230717639,0.0,0.0015060240963855422,0.0,0.002403846153846154,0.0078125,0.004166666666666667,0.014134275618374558,0.0013404825737265416,0.0,0.0,0.0,0.0016901408450704226,0.01090909090909091,0.0006230529595015577,0.0010683760683760685,0.0024509803921568627,0.001858390633711206,0.006382978723404255,0.03811101905550953,0.0029874526986656044,0.006896551724137931,0.0,0.0,0.0,1.0,0.0,0.5,0,0.2,0.0,0.5,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.09523809523809523,0.0,0.034482758620689655,0.0
0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.0,0.0,1.0,0.008849557522123894,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.06666666666666667,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023584905660377358,0.9545454545454546,0.0,0.006896551724137931,0.0024691358024691358,0.0001967729240456513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024509803921568627,0.0,0.0014184397163120568,0.004971002485501243,0.00039832702648874725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.5,0.1111111111111111,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0625,0.0,0.0,0,0,0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.03333333333333333,0.3333333333333333,0.0,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.01639344262295082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056134723336006415,0.0029940119760479044,0.051633298208640675,0.008928571428571428,0.0047169811320754715,0.005050505050505051,0.9474196689386563,0.020689655172413793,0.006172839506172839,0.0005903187721369539,0.0,0.0,0.0018264840182648401,0.004545454545454545,0.0012733446519524619,0.0006648936170212766,0.0,0.0045045045045045045,0.0026827632461435278,0.003472222222222222,0.0,0.0,0.002403846153846154,0.01171875,0.004861111111111111,0.0176678445229682,0.004021447721179625,0.0,0.004878048780487805,0.0,0.0016901408450704226,0.00909090909090909,0.0024922118380062306,0.003205128205128205,0.004901960784313725,0.014495446942947408,0.004964539007092199,0.015741507870753936,0.0033857797251543517,0.005172413793103448,0.034482758620689655,0.25,0.0,4.0,0.25,0.0,1,0.6,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.0,1,0,0,0.0,0.0,0,0,0.0625,0.3333333333333333,0.0,0,0,0,0.25,0.0,0.5,0,0,0.047619047619047616,0.03571428571428571,0.047619047619047616,0.0,0.034482758620689655,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008019246190858059,0.0029940119760479044,0.0,0.09821428571428571,0.018867924528301886,0.005050505050505051,0.0006491398896462187,0.4413793103448276,0.025925925925925925,0.0003935458480913026,0.0008703220191470844,0.0,0.0036529680365296802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015060240963855422,0.004347826086956522,0.0,0.0,0.002777777777777778,0.007067137809187279,0.002680965147453083,0.0196078431372549,0.00975609756097561,0.0,0.0,0.0036363636363636364,0.0,0.0010683760683760685,0.0024509803921568627,0.0007433562534844825,0.004964539007092199,0.008285004142502071,0.0013941445927106153,0.0017241379310344827,0.0,0.0,0.3333333333333333,0.0,0.25,0.0,0,0.0,0.5,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.5,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0
0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0008019246190858059,0.0,0.001053740779768177,0.026785714285714284,0.09905660377358491,0.0,0.0006491398896462187,0.2,0.8234567901234568,0.0,0.0008703220191470844,0.0041841004184100415,0.025570776255707764,0.0015151515151515152,0.0008488964346349745,0.0006648936170212766,0.0,0.0,0.0013413816230717639,0.0,0.0015060240963855422,0.008695652173913044,0.0,0.015625,0.003472222222222222,0.014134275618374558,0.006702412868632708,0.0,0.0,0.005917159763313609,0.0005633802816901409,0.007272727272727273,0.0012461059190031153,0.002136752136752137,0.007352941176470588,0.001486712506968965,0.00425531914893617,0.010770505385252692,0.001593308105954989,0.010919540229885057,0.0,0.0,0.0,0.0,0.25,1.0,0,0.0,0.5,0.5,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.047619047619047616,0.03571428571428571,0.09523809523809523,0.0,0.034482758620689655,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9734513274336283,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047169811320754715,0.0,0.0,0.0,0.0,0.9868162140889414,0.0008703220191470844,0.0,0.0009132420091324201,0.0015151515151515152,0.00042444821731748726,0.0,0.0,0.0022522522522522522,0.0006706908115358819,0.0,0.0,0.0,0.0,0.0078125,0.0020833333333333333,0.014134275618374558,0.0,0.0,0.004878048780487805,0.0,0.0,0.0036363636363636364,0.0,0.0,0.0,0.00037167812674224123,0.0014184397163120568,0.030654515327257662,0.00039832702648874725,0.0022988505747126436,0.0,0.0,0.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.6666666666666667,0,0.0,0.0,0,0.0,0,0.0,0,1,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.3333333333333333,0.0,0,0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9886858137510879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00975609756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.00037167812674224123,0.0007092198581560284,0.004971002485501243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052631578947368474,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003245699448231094,0.0,0.0,0.0001967729240456513,0.0,0.9372384937238494,0.0009132420091324201,0.0,0.0,0.0006648936170212766,0.0,0.0,0.0,0.0,0.0,0.02608695652173913,0.0,0.00390625,0.002777777777777778,0.0035335689045936395,0.0,0.0,0.0,0.0,0.0,0.0018181818181818182,0.0,0.0,0.0,0.0,0.0,0.0016570008285004142,0.00039832702648874725,0.0005747126436781609,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.5925925925925926,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01650943396226415,0.015151515151515152,0.0009737098344693282,0.0,0.0345679012345679,0.0003935458480913026,0.0,0.0,0.9296803652968036,0.0030303030303030303,0.0,0.0,0.0,0.0,0.0006706908115358819,0.003472222222222222,0.0,0.0,0.002403846153846154,0.07421875,0.003472222222222222,0.007067137809187279,0.0013404825737265416,0.0,0.004878048780487805,0.0,0.0005633802816901409,0.0018181818181818182,0.0006230529595015577,0.0,0.0,0.0007433562534844825,0.005673758865248227,0.006628003314001657,0.0011949810794662419,0.0022988505747126436,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.0,0,0.0,0.5,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023584905660377358,0.0,0.0,0.0,0.0,0.0001967729240456513,0.0,0.0,0.0018264840182648401,0.9727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0234375,0.0,0.0035335689045936395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018583906337112061,0.0007092198581560284,0.0008285004142502071,0.00019916351324437363,0.0005747126436781609,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047169811320754715,0.0,0.0,0.0,0.0,0.0007870916961826052,0.0,0.0041841004184100415,0.0,0.0,0.984295415959253,0.0,0.0014577259475218659,0.0,0.002012072434607646,0.0,0.0,0.0,0.002403846153846154,0.00390625,0.0,0.0035335689045936395,0.0,0.0,0.0,0.005917159763313609,0.0,0.0,0.0,0.0,0.0,0.00018583906337112061,0.0014184397163120568,0.014913007456503728,0.00019916351324437363,0.0017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.6666666666666667,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003245699448231094,0.0,0.0,0.0001967729240456513,0.0,0.0,0.0,0.0,0.0,0.9800531914893617,0.0,0.0022522522522522522,0.0,0.0,0.0,0.0,0.002403846153846154,0.0,0.0,0.0035335689045936395,0.0,0.0,0.0,0.0,0.0,0.0018181818181818182,0.0006230529595015577,0.0010683760683760685,0.0,0.0,0.0007092198581560284,0.013256006628003313,0.00019916351324437363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.8461538461538461,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.023809523809523808,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023584905660377358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009132420091324201,0.0,0.0,0.0006648936170212766,0.9708454810495627,0.0022522522522522522,0.0,0.0,0.0,0.0,0.0,0.0,0.0006944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018583906337112061,0.0007092198581560284,0.007456503728251864,0.0,0.0011494252873563218,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.5,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.03571428571428571,0.047619047619047616,0.0,0.034482758620689655,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.023809523809523808,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001967729240456513,0.0,0.0,0.0,0.0,0.0,0.0006648936170212766,0.0,0.963963963963964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005633802816901409,0.0,0.0,0.0010683760683760685,0.0,0.00018583906337112061,0.0014184397163120568,0.007456503728251864,0.0,0.0005747126436781609,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.03571428571428571,0.09523809523809523,0.0,0.0,0.0
